Brazil,Colombia,Cambodia,India,Mexico,Myanmar,Thailand,Indonesia,Papua New Guinea,Bangladesh,Vietnam,Malaysia,Peru,Madagascar,China,Bhutan,Ethiopia,Iran,Sudan,Philippines,Afghanistan,untypeable,set
0,0,0,0,0,0,0,0,0,0,0.285091759415241,0,0,0,0,-0.00435462262651959,0,0,0,0.499059265394243,0.132903535789557,0,86565_45756_177041_19872_7802
0,0.128004791584566,0,0,0,-0.0079805257402761,0,0,0,0.351999302232128,0.282017211412017,0.158416015040761,0,0,0,0,0,-0.011392405063291,0,0.499059265394243,0.198145944041527,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876
0,0.137010692373117,0,0,-0.00981146885347766,0.151430475921739,0,0.07323972766751,0,0.351999302232128,0.294083814813442,0.224174581263131,0,0,0,0,0.295775030876345,0,0,0,0.198145944041527,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561
0,0,0,0,0.656113323959779,0.136865655865493,0.0846212682512983,0.125564172522307,-0.0170911873169866,0.351999302232128,0.297170206102087,0.224174581263131,0,0,0,0,0.295775030876345,0.371752964589761,0,0,0.198145944041527,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080
0,0,0,0,0.656113323959779,0.349096072232021,0.169561561359719,0.131524842046147,-0.0170911873169866,0,0.291042852539629,0.224174581263131,0,0,0,0,0.295775030876345,0.371752964589761,0,0,0.198145944041527,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473
0,0.363866719966239,0.125371581847109,0,0.666415382450468,0.246538283705608,0.20509279143194,0.180974540884782,-0.0152674844859577,0,0.297170206102087,0.575520679470039,0.215391475630477,0,0,0,0.295775030876345,0,0,0,0.172648437058253,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434
0,0.363866719966239,0.265889679277662,0,-0.00489650443845583,0.246538283705608,0.187010199945161,0.221616843730825,-0.00537414388589729,0,0.307715527786718,0.575520679470039,0.344409163154587,0,0,0,0.477015196481672,0,0,0,0.0866661822936823,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649
0,0.477924355899425,0.265889679277662,0,-0.00489650443845583,0.246538283705608,0.187010199945161,0.244552380326716,-0.00537414388589729,0,0.318217021616291,0.575520679470039,0.344409163154587,0,0,0,0.477015196481672,0,0,0,0.114252897523669,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619
0,0.477924355899425,0.254400089861364,0,-0.00489650443845583,0.351999302232128,0.221835231651803,0.264590915049306,-0.00537414388589729,0,0.278029448341076,0.575520679470039,0.344409163154587,0,0,0,0.622544415682779,-0.00377838547810627,0,0,0.151850947408929,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698
0,0.477924355899425,0.271646284475926,0,-0.00489650443845583,0.351999302232128,0.220766577716088,0.274137446647704,0,0,0.29093280546796,0.575520679470039,0.344409163154587,0,0,0,0.635457070390239,0,0,0,0.20252281351233,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086
0,0.477924355899425,0.30052419178224,0,-0.00489650443845583,0.246538283705608,0.258198889747161,0.278229936069901,0,0,0.347186246020341,0.575520679470039,0.344409163154587,0,0,0,0.635457070390239,0,0,0,0.21007141333775,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301
0,0.477924355899425,0.300984192255524,0,0,0.351999302232128,0.243346500632159,0.28368926712419,0,0,0.392096521511323,0.575520679470039,0.359684184015905,0,0,0,0.635457070390239,0,0,0,0.21007141333775,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894
0,0.477924355899425,0.367531252333083,0,0,0,0.268874809047425,0.305714464540745,0,0,0.432077236879882,0.575520679470039,0.359684184015905,0,0,0,0.635457070390239,0,0,0,0.21007141333775,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450
0,0.477924355899425,0.321627739348946,0,0,0,0.264379718770333,0.303930535263651,0,0,0.44069233126324,0.575520679470039,0.359684184015905,0,0,0,0.649114947892085,0,0,0,0.237091437309884,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037
0,0.554002070519349,0.474602361002202,0,0,0,0.292087555701891,0.341688565715478,0,0,0.447965441330557,0.575520679470039,0.359684184015905,0,0,0,0.649114947892085,0,0,0,0.291213674796277,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436
0,0.554002070519349,0.473171633615658,0,0,0,0.303806441127462,0.349842905576802,0,0,0.439614361749082,0.575520679470039,0.359684184015905,0,0,0,0.649114947892085,0,0,0,0.291213674796277,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913
0,0.554002070519349,0.475188652830144,0,0,0,0.306136201843549,0.355300403245606,0,0,0.432077236879882,0.575520679470039,0.359684184015905,0,0,0,0.649114947892085,0,0,0,0.340797308702546,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761
0,0.554002070519349,0.491934095610505,0,0,0,0.315602255453185,0.36902914898794,0,0,0.432077236879882,0.698466231915411,0.359684184015905,0,0,0,0.649114947892085,0,0,0,0.340797308702546,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919
0,0.632279545165828,0.49395257027332,0,0,0,0.32268139516975,0.458182554435358,0,0,0.423369348277447,0.735261076904214,0.338253207729613,0,0,0,0.649114947892085,0,0,0,0.281057693421008,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116
0,0.658821660391119,0.502121168028408,0,0,0,0.332118872190894,0.469935781053418,0,0,0.431198831513491,0.735261076904214,0.380630350994557,0,0,0,0.649114947892085,0,0,0,0.311519741054805,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432
0,0.663660971702455,0.502121168028408,0,0,0,0.341556349212038,0.481294475684177,0,0,0.439368080029224,0.735261076904214,0.401120102116637,0,0,0,0.649114947892085,0,0,0,0.302976194241361,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924
0,0.658821660391119,0.518197960045678,0,0,0,0.344000416282093,0.495155986542046,0.619263800266884,0,0.439368080029224,0.735261076904214,0.380630350994557,0,0,0,0.649114947892085,0,0,0,0.294934604670952,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867
0,0.663660971702455,0.518197960045678,0,0,0,0.353466469891729,0.481294475684177,0.233178131938099,0,0.439368080029224,0.735261076904214,0.401120102116637,0,0,0,0.649114947892085,0,0,0,0.38647063684623,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605
0,0.663660971702455,0.526112365127921,0,0,0,0.34854313535092,0.491128739231978,0.233178131938099,0,0.476029743356971,0.735261076904214,0.401120102116637,0,0,0,0.649114947892085,0,0,0,0.38647063684623,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860
0,0.658821660391119,0.526112365127921,0,0,0,0.371266838088953,0.506523020969488,0.233178131938099,0,0.508782710458747,0.717074154635664,0.380630350994557,0,0,0,0.649114947892085,0,0,0,0.514174821438401,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860_200349_161546_138859_195829_104058
0,0.658821660391119,0.572034905695138,0,0,0,0.382434547133949,0.511818365676713,0.233178131938099,0,0.536712451829859,0.717074154635664,0.380630350994557,0,0,0,0.603750322792019,0,0,0,0.514174821438401,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860_200349_161546_138859_195829_104058_102539_220514_64656_2516_187320
0,0.733302120389491,0.53644372675628,0,0,0,0.387298334620742,0.524589473560051,0.233178131938099,0,0.579485261500429,0.717074154635664,0.565525878617465,0,0,0,0.60426679163202,0,0,0,0.524657165882346,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860_200349_161546_138859_195829_104058_102539_220514_64656_2516_187320_113786_156179_48398_208986_177099
0,0.733302120389491,0.551423247789891,0,0,0,0.389761317569802,0.52050533018368,0.233178131938099,0,0.579485261500429,0.717074154635664,0.565525878617465,0,0,0,0.60426679163202,0,0,0,0.524657165882346,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860_200349_161546_138859_195829_104058_102539_220514_64656_2516_187320_113786_156179_48398_208986_177099_71556_104937_185954_214503_154199
0,0.733302120389491,0.566682990146056,0,0,0,0.39776809878169,0.518892529131659,0.329970489874355,0,0.579485261500429,0.717074154635664,0.562938413025291,0,0,0,0.623187885795677,0,0,0,0.529367364878729,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860_200349_161546_138859_195829_104058_102539_220514_64656_2516_187320_113786_156179_48398_208986_177099_71556_104937_185954_214503_154199_4059_130591_68679_59983_222499
0,0.69392243820762,0.566682990146056,0,0.255923965316625,0,0.40203646433967,0.522122121605383,0.329970489874355,0,0.564642193200971,0.698466231915411,0.658243133203743,0,0,0,0.666773943284363,0,0,0,0.496015387012436,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086_69700_139035_1024_184304_196301_197543_160379_44536_202663_104894_22955_95947_65173_148162_221450_160090_77425_159726_66411_142037_115830_11010_183405_40762_25436_46754_53367_197184_103504_191913_114325_130690_48714_8243_1761_70841_2856_162568_1989_138919_2435_92184_226845_226165_206116_167576_163621_56625_128421_31432_77320_149820_61005_74817_126924_68137_92263_140441_52044_74867_164404_27132_19507_224_69605_47279_38169_12749_195828_70860_200349_161546_138859_195829_104058_102539_220514_64656_2516_187320_113786_156179_48398_208986_177099_71556_104937_185954_214503_154199_4059_130591_68679_59983_222499_143588_195153_190254_170595_222514
